[2026-03-29T21:27:38.404Z] Novo arquivo: C:\Users\medin\Desktop\backup_judx\resultados\stj_datajud\stj_datajud_2009.csv
[2026-03-29T21:27:38.407Z] Ano 2009: 53 semanas
[2026-03-29T21:27:38.913Z] [2009] 2009-12-25/2009-12-31 | novos: 1 | skip: 0 | erros: 0
[2026-03-29T21:27:39.136Z] [2009] 2009-12-18/2009-12-24 | novos: 5 | skip: 0 | erros: 0
[2026-03-29T21:27:39.384Z] [2009] 2009-12-11/2009-12-17 | novos: 14 | skip: 0 | erros: 0
[2026-03-29T21:27:39.634Z] [2009] 2009-12-04/2009-12-10 | novos: 28 | skip: 0 | erros: 0
[2026-03-29T21:27:40.381Z] [2009] 2009-11-27/2009-12-03 | novos: 37 | skip: 0 | erros: 0
[2026-03-29T21:27:40.600Z] [2009] 2009-11-20/2009-11-26 | novos: 56 | skip: 0 | erros: 0
[2026-03-29T21:27:41.050Z] [2009] 2009-11-13/2009-11-19 | novos: 75 | skip: 0 | erros: 0
[2026-03-29T21:27:41.673Z] [2009] 2009-11-06/2009-11-12 | novos: 93 | skip: 0 | erros: 0
[2026-03-29T21:27:42.174Z] [2009] 2009-10-30/2009-11-05 | novos: 111 | skip: 0 | erros: 0
[2026-03-29T21:27:42.376Z] [2009] 2009-10-23/2009-10-29 | novos: 130 | skip: 0 | erros: 0
[2026-03-29T21:27:42.593Z] [2009] 2009-10-16/2009-10-22 | novos: 155 | skip: 0 | erros: 0
[2026-03-29T21:27:43.092Z] [2009] 2009-10-09/2009-10-15 | novos: 169 | skip: 0 | erros: 0
[2026-03-29T21:27:43.355Z] [2009] 2009-10-02/2009-10-08 | novos: 189 | skip: 0 | erros: 0
[2026-03-29T21:27:43.558Z] [2009] 2009-09-25/2009-10-01 | novos: 213 | skip: 0 | erros: 0
[2026-03-29T21:27:43.807Z] [2009] 2009-09-18/2009-09-24 | novos: 260 | skip: 0 | erros: 0
[2026-03-29T21:27:44.042Z] [2009] 2009-09-11/2009-09-17 | novos: 278 | skip: 0 | erros: 0
[2026-03-29T21:27:44.261Z] [2009] 2009-09-04/2009-09-10 | novos: 289 | skip: 0 | erros: 0
[2026-03-29T21:27:44.727Z] [2009] 2009-08-28/2009-09-03 | novos: 306 | skip: 0 | erros: 0
[2026-03-29T21:27:45.009Z] [2009] 2009-08-21/2009-08-27 | novos: 335 | skip: 0 | erros: 0
[2026-03-29T21:27:45.365Z] [2009] 2009-08-14/2009-08-20 | novos: 356 | skip: 0 | erros: 0
[2026-03-29T21:27:45.568Z] [2009] 2009-08-07/2009-08-13 | novos: 369 | skip: 0 | erros: 0
[2026-03-29T21:27:45.895Z] [2009] 2009-07-31/2009-08-06 | novos: 384 | skip: 0 | erros: 0
[2026-03-29T21:27:46.083Z] [2009] 2009-07-24/2009-07-30 | novos: 395 | skip: 0 | erros: 0
[2026-03-29T21:27:46.286Z] [2009] 2009-07-17/2009-07-23 | novos: 400 | skip: 0 | erros: 0
[2026-03-29T21:27:46.472Z] [2009] 2009-07-10/2009-07-16 | novos: 424 | skip: 0 | erros: 0
[2026-03-29T21:27:46.753Z] [2009] 2009-07-03/2009-07-09 | novos: 434 | skip: 0 | erros: 0
[2026-03-29T21:27:46.955Z] [2009] 2009-06-26/2009-07-02 | novos: 443 | skip: 0 | erros: 0
[2026-03-29T21:27:47.189Z] [2009] 2009-06-19/2009-06-25 | novos: 460 | skip: 0 | erros: 0
