[2026-03-29T21:27:57.794Z] Novo arquivo: C:\Users\medin\Desktop\backup_judx\resultados\stj_datajud\stj_datajud_2005.csv
[2026-03-29T21:27:57.797Z] Ano 2005: 53 semanas
[2026-03-29T21:27:58.277Z] [2005] 2005-12-18/2005-12-24 | novos: 1 | skip: 0 | erros: 0
[2026-03-29T21:27:58.466Z] [2005] 2005-12-11/2005-12-17 | novos: 3 | skip: 0 | erros: 0
[2026-03-29T21:27:58.652Z] [2005] 2005-12-04/2005-12-10 | novos: 6 | skip: 0 | erros: 0
[2026-03-29T21:27:58.995Z] [2005] 2005-11-27/2005-12-03 | novos: 8 | skip: 0 | erros: 0
[2026-03-29T21:27:59.179Z] [2005] 2005-11-20/2005-11-26 | novos: 11 | skip: 0 | erros: 0
[2026-03-29T21:27:59.523Z] [2005] 2005-11-13/2005-11-19 | novos: 13 | skip: 0 | erros: 0
[2026-03-29T21:27:59.744Z] [2005] 2005-11-06/2005-11-12 | novos: 15 | skip: 0 | erros: 0
[2026-03-29T21:28:00.009Z] [2005] 2005-10-09/2005-10-15 | novos: 16 | skip: 0 | erros: 0
[2026-03-29T21:28:00.304Z] [2005] 2005-10-02/2005-10-08 | novos: 20 | skip: 0 | erros: 0
[2026-03-29T21:28:00.520Z] [2005] 2005-09-25/2005-10-01 | novos: 21 | skip: 0 | erros: 0
[2026-03-29T21:28:00.739Z] [2005] 2005-09-11/2005-09-17 | novos: 31 | skip: 0 | erros: 0
[2026-03-29T21:28:01.018Z] [2005] 2005-09-04/2005-09-10 | novos: 33 | skip: 0 | erros: 0
[2026-03-29T21:28:01.192Z] [2005] 2005-08-28/2005-09-03 | novos: 34 | skip: 0 | erros: 0
[2026-03-29T21:28:01.659Z] [2005] 2005-08-14/2005-08-20 | novos: 39 | skip: 0 | erros: 0
[2026-03-29T21:28:01.862Z] [2005] 2005-08-07/2005-08-13 | novos: 40 | skip: 0 | erros: 0
[2026-03-29T21:28:02.063Z] [2005] 2005-07-31/2005-08-06 | novos: 42 | skip: 0 | erros: 0
[2026-03-29T21:28:02.264Z] [2005] 2005-07-24/2005-07-30 | novos: 44 | skip: 0 | erros: 0
[2026-03-29T21:28:02.652Z] [2005] 2005-07-17/2005-07-23 | novos: 48 | skip: 0 | erros: 0
[2026-03-29T21:28:02.840Z] [2005] 2005-07-10/2005-07-16 | novos: 50 | skip: 0 | erros: 0
[2026-03-29T21:28:03.232Z] [2005] 2005-07-03/2005-07-09 | novos: 53 | skip: 0 | erros: 0
[2026-03-29T21:28:05.139Z] [2005] 2005-06-26/2005-07-02 | novos: 54 | skip: 0 | erros: 0
[2026-03-29T21:28:05.810Z] [2005] 2005-06-12/2005-06-18 | novos: 56 | skip: 0 | erros: 0
[2026-03-29T21:28:06.075Z] [2005] 2005-06-05/2005-06-11 | novos: 57 | skip: 0 | erros: 0
[2026-03-29T21:28:06.371Z] [2005] 2005-05-29/2005-06-04 | novos: 59 | skip: 0 | erros: 0
[2026-03-29T21:28:06.933Z] [2005] 2005-05-22/2005-05-28 | novos: 63 | skip: 0 | erros: 0
[2026-03-29T21:28:07.337Z] [2005] 2005-05-15/2005-05-21 | novos: 68 | skip: 0 | erros: 0
[2026-03-29T21:28:07.884Z] [2005] 2005-05-08/2005-05-14 | novos: 71 | skip: 0 | erros: 0
[2026-03-29T21:28:08.477Z] [2005] 2005-04-24/2005-04-30 | novos: 74 | skip: 0 | erros: 0
[2026-03-29T21:28:08.805Z] [2005] 2005-04-10/2005-04-16 | novos: 76 | skip: 0 | erros: 0
[2026-03-29T21:28:08.993Z] [2005] 2005-04-03/2005-04-09 | novos: 78 | skip: 0 | erros: 0
[2026-03-29T21:28:09.167Z] [2005] 2005-03-27/2005-04-02 | novos: 80 | skip: 0 | erros: 0
[2026-03-29T21:28:09.354Z] [2005] 2005-03-20/2005-03-26 | novos: 81 | skip: 0 | erros: 0
[2026-03-29T21:28:09.540Z] [2005] 2005-03-13/2005-03-19 | novos: 84 | skip: 0 | erros: 0
[2026-03-29T21:28:09.728Z] [2005] 2005-03-06/2005-03-12 | novos: 89 | skip: 0 | erros: 0
[2026-03-29T21:28:09.899Z] [2005] 2005-02-27/2005-03-05 | novos: 91 | skip: 0 | erros: 0
[2026-03-29T21:28:10.069Z] [2005] 2005-02-20/2005-02-26 | novos: 95 | skip: 0 | erros: 0
[2026-03-29T21:28:10.274Z] [2005] 2005-02-13/2005-02-19 | novos: 97 | skip: 0 | erros: 0
[2026-03-29T21:28:10.477Z] [2005] 2005-02-06/2005-02-12 | novos: 102 | skip: 0 | erros: 0
[2026-03-29T21:28:10.648Z] [2005] 2005-01-30/2005-02-05 | novos: 104 | skip: 0 | erros: 0
[2026-03-29T21:28:10.852Z] [2005] 2005-01-16/2005-01-22 | novos: 105 | skip: 0 | erros: 0
[2026-03-29T21:28:11.055Z] [2005] 2005-01-09/2005-01-15 | novos: 106 | skip: 0 | erros: 0
[2026-03-29T21:28:11.556Z] [2005] 2005-01-02/2005-01-08 | novos: 107 | skip: 0 | erros: 0
[2026-03-29T21:28:11.589Z] [2005] COMPLETO — 107 novos, 0 duplicatas, 0 erros
[2026-03-29T21:28:11.590Z] Total no CSV: 107 processos
