[2026-03-29T21:27:32.176Z] Novo arquivo: C:\Users\medin\Desktop\backup_judx\resultados\stj_datajud\stj_datajud_2010.csv
[2026-03-29T21:27:32.180Z] Ano 2010: 53 semanas
[2026-03-29T21:27:32.574Z] [2010] 2010-12-25/2010-12-31 | novos: 1 | skip: 0 | erros: 0
[2026-03-29T21:27:32.793Z] [2010] 2010-12-18/2010-12-24 | novos: 6 | skip: 0 | erros: 0
[2026-03-29T21:27:33.183Z] [2010] 2010-12-11/2010-12-17 | novos: 36 | skip: 0 | erros: 0
[2026-03-29T21:27:33.433Z] [2010] 2010-12-04/2010-12-10 | novos: 68 | skip: 0 | erros: 0
[2026-03-29T21:27:33.932Z] [2010] 2010-11-27/2010-12-03 | novos: 101 | skip: 0 | erros: 0
[2026-03-29T21:27:34.182Z] [2010] 2010-11-20/2010-11-26 | novos: 151 | skip: 0 | erros: 0
[2026-03-29T21:27:34.387Z] [2010] 2010-11-13/2010-11-19 | novos: 173 | skip: 0 | erros: 0
[2026-03-29T21:27:34.655Z] [2010] 2010-11-06/2010-11-12 | novos: 207 | skip: 0 | erros: 0
[2026-03-29T21:27:34.858Z] [2010] 2010-10-30/2010-11-05 | novos: 235 | skip: 0 | erros: 0
[2026-03-29T21:27:35.110Z] [2010] 2010-10-23/2010-10-29 | novos: 279 | skip: 0 | erros: 0
[2026-03-29T21:27:35.313Z] [2010] 2010-10-16/2010-10-22 | novos: 298 | skip: 0 | erros: 0
[2026-03-29T21:27:35.550Z] [2010] 2010-10-09/2010-10-15 | novos: 330 | skip: 0 | erros: 0
[2026-03-29T21:27:35.754Z] [2010] 2010-10-02/2010-10-08 | novos: 351 | skip: 0 | erros: 0
[2026-03-29T21:27:36.160Z] [2010] 2010-09-25/2010-10-01 | novos: 385 | skip: 0 | erros: 0
[2026-03-29T21:27:36.348Z] [2010] 2010-09-18/2010-09-24 | novos: 396 | skip: 0 | erros: 0
[2026-03-29T21:27:36.691Z] [2010] 2010-09-11/2010-09-17 | novos: 422 | skip: 0 | erros: 0
[2026-03-29T21:27:36.893Z] [2010] 2010-09-04/2010-09-10 | novos: 434 | skip: 0 | erros: 0
[2026-03-29T21:27:37.083Z] [2010] 2010-08-28/2010-09-03 | novos: 457 | skip: 0 | erros: 0
[2026-03-29T21:27:37.519Z] [2010] 2010-08-21/2010-08-27 | novos: 476 | skip: 0 | erros: 0
[2026-03-29T21:27:37.721Z] [2010] 2010-08-14/2010-08-20 | novos: 484 | skip: 0 | erros: 0
[2026-03-29T21:27:37.910Z] [2010] 2010-08-07/2010-08-13 | novos: 502 | skip: 0 | erros: 0
[2026-03-29T21:27:38.098Z] [2010] 2010-07-31/2010-08-06 | novos: 512 | skip: 0 | erros: 0
[2026-03-29T21:27:38.286Z] [2010] 2010-07-24/2010-07-30 | novos: 524 | skip: 0 | erros: 0
[2026-03-29T21:27:38.476Z] [2010] 2010-07-17/2010-07-23 | novos: 536 | skip: 0 | erros: 0
[2026-03-29T21:27:38.722Z] [2010] 2010-07-10/2010-07-16 | novos: 547 | skip: 0 | erros: 0
[2026-03-29T21:27:38.944Z] [2010] 2010-07-03/2010-07-09 | novos: 561 | skip: 0 | erros: 0
[2026-03-29T21:27:39.133Z] [2010] 2010-06-26/2010-07-02 | novos: 567 | skip: 0 | erros: 0
[2026-03-29T21:27:39.336Z] [2010] 2010-06-19/2010-06-25 | novos: 577 | skip: 0 | erros: 0
[2026-03-29T21:27:39.572Z] [2010] 2010-06-12/2010-06-18 | novos: 594 | skip: 0 | erros: 0
[2026-03-29T21:27:40.287Z] [2010] 2010-06-05/2010-06-11 | novos: 601 | skip: 0 | erros: 0
[2026-03-29T21:27:40.474Z] [2010] 2010-05-29/2010-06-04 | novos: 610 | skip: 0 | erros: 0
[2026-03-29T21:27:41.004Z] [2010] 2010-05-22/2010-05-28 | novos: 619 | skip: 0 | erros: 0
[2026-03-29T21:27:41.191Z] [2010] 2010-05-15/2010-05-21 | novos: 632 | skip: 0 | erros: 0
[2026-03-29T21:27:42.079Z] [2010] 2010-05-08/2010-05-14 | novos: 640 | skip: 0 | erros: 0
