[2026-03-29T21:24:43.298Z] Novo arquivo: C:\Users\medin\Desktop\backup_judx\resultados\stj_datajud\stj_datajud_2015.csv
[2026-03-29T21:24:43.302Z] Ano 2015: 53 semanas
[2026-03-29T21:24:45.157Z] [2015] 2015-12-25/2015-12-31 | novos: 186 | skip: 0 | erros: 0
[2026-03-29T21:24:46.062Z] [2015] 2015-12-18/2015-12-24 | novos: 494 | skip: 0 | erros: 0
[2026-03-29T21:24:47.869Z] [2015] 2015-12-11/2015-12-17 | novos: 1320 | skip: 0 | erros: 0
[2026-03-29T21:24:57.372Z] [2015] 2015-11-06/2015-11-12 | novos: 5065 | skip: 0 | erros: 0
[2026-03-29T21:24:58.446Z] [2015] 2015-10-30/2015-11-05 | novos: 5697 | skip: 0 | erros: 0
[2026-03-29T21:25:02.283Z] [2015] 2015-10-23/2015-10-29 | novos: 6673 | skip: 0 | erros: 0
[2026-03-29T21:25:08.944Z] [2015] 2015-09-18/2015-09-24 | novos: 10732 | skip: 0 | erros: 0
[2026-03-29T21:25:09.878Z] [2015] 2015-09-11/2015-09-17 | novos: 11438 | skip: 0 | erros: 0
[2026-03-29T21:25:20.096Z] [2015] 2015-07-31/2015-08-06 | novos: 15516 | skip: 0 | erros: 0
[2026-03-29T21:25:21.110Z] [2015] 2015-07-24/2015-07-30 | novos: 16057 | skip: 0 | erros: 0
[2026-03-29T21:25:22.263Z] [2015] 2015-07-17/2015-07-23 | novos: 16661 | skip: 0 | erros: 0
[2026-03-29T21:25:27.523Z] [2015] 2015-06-05/2015-06-11 | novos: 20639 | skip: 0 | erros: 0
[2026-03-29T21:25:28.830Z] [2015] 2015-05-29/2015-06-04 | novos: 21312 | skip: 0 | erros: 0
[2026-03-29T21:25:30.261Z] [2015] 2015-05-22/2015-05-28 | novos: 21949 | skip: 0 | erros: 0
[2026-03-29T21:25:36.169Z] [2015] 2015-04-24/2015-04-30 | novos: 25272 | skip: 0 | erros: 0
[2026-03-29T21:25:36.761Z] [2015] 2015-04-17/2015-04-23 | novos: 25664 | skip: 0 | erros: 0
[2026-03-29T21:25:37.542Z] [2015] 2015-04-10/2015-04-16 | novos: 26386 | skip: 0 | erros: 0
[2026-03-29T21:25:43.789Z] [2015] 2015-02-27/2015-03-05 | novos: 30068 | skip: 0 | erros: 0
[2026-03-29T21:25:44.716Z] [2015] 2015-02-20/2015-02-26 | novos: 31070 | skip: 0 | erros: 0
[2026-03-29T21:25:45.135Z] [2015] 2015-02-13/2015-02-19 | novos: 31519 | skip: 0 | erros: 0
[2026-03-29T21:25:51.150Z] [2015] COMPLETO — 34913 novos, 0 duplicatas, 0 erros
[2026-03-29T21:25:51.151Z] Total no CSV: 34913 processos
