[2026-03-29T21:24:44.858Z] Novo arquivo: C:\Users\medin\Desktop\backup_judx\resultados\stj_datajud\stj_datajud_2014.csv
[2026-03-29T21:24:44.861Z] Ano 2014: 53 semanas
[2026-03-29T21:24:46.139Z] [2014] 2014-12-25/2014-12-31 | novos: 255 | skip: 0 | erros: 0
[2026-03-29T21:24:47.884Z] [2014] 2014-12-18/2014-12-24 | novos: 749 | skip: 0 | erros: 0
[2026-03-29T21:24:50.675Z] [2014] 2014-12-11/2014-12-17 | novos: 1366 | skip: 0 | erros: 0
[2026-03-29T21:24:51.940Z] [2014] 2014-12-04/2014-12-10 | novos: 1817 | skip: 0 | erros: 0
[2026-03-29T21:25:00.051Z] [2014] 2014-10-30/2014-11-05 | novos: 5094 | skip: 0 | erros: 0
[2026-03-29T21:25:01.752Z] [2014] 2014-10-23/2014-10-29 | novos: 5600 | skip: 0 | erros: 0
[2026-03-29T21:25:03.131Z] [2014] 2014-10-16/2014-10-22 | novos: 6319 | skip: 0 | erros: 0
[2026-03-29T21:25:10.388Z] [2014] 2014-08-28/2014-09-03 | novos: 10138 | skip: 0 | erros: 0
[2026-03-29T21:25:13.394Z] [2014] 2014-08-21/2014-08-27 | novos: 10725 | skip: 0 | erros: 0
[2026-03-29T21:25:14.845Z] [2014] 2014-08-14/2014-08-20 | novos: 11374 | skip: 0 | erros: 0
[2026-03-29T21:25:17.020Z] [2014] 2014-08-07/2014-08-13 | novos: 11944 | skip: 0 | erros: 0
[2026-03-29T21:25:23.181Z] [2014] 2014-07-03/2014-07-09 | novos: 15056 | skip: 0 | erros: 0
[2026-03-29T21:25:24.940Z] [2014] 2014-06-26/2014-07-02 | novos: 15732 | skip: 0 | erros: 0
[2026-03-29T21:25:26.342Z] [2014] 2014-06-19/2014-06-25 | novos: 16276 | skip: 0 | erros: 0
[2026-03-29T21:25:27.074Z] [2014] 2014-06-12/2014-06-18 | novos: 16671 | skip: 0 | erros: 0
[2026-03-29T21:25:36.480Z] [2014] 2014-04-17/2014-04-23 | novos: 20267 | skip: 0 | erros: 0
[2026-03-29T21:25:36.964Z] [2014] 2014-04-10/2014-04-16 | novos: 20707 | skip: 0 | erros: 0
[2026-03-29T21:25:37.807Z] [2014] 2014-04-03/2014-04-09 | novos: 21211 | skip: 0 | erros: 0
[2026-03-29T21:25:38.508Z] [2014] 2014-03-27/2014-04-02 | novos: 21650 | skip: 0 | erros: 0
[2026-03-29T21:25:45.541Z] [2014] 2014-01-30/2014-02-05 | novos: 25126 | skip: 0 | erros: 0
[2026-03-29T21:25:46.649Z] [2014] 2014-01-23/2014-01-29 | novos: 25470 | skip: 0 | erros: 0
[2026-03-29T21:25:49.015Z] [2014] 2014-01-16/2014-01-22 | novos: 25749 | skip: 0 | erros: 0
[2026-03-29T21:25:49.356Z] [2014] 2014-01-09/2014-01-15 | novos: 25973 | skip: 0 | erros: 0
[2026-03-29T21:25:50.120Z] [2014] 2014-01-02/2014-01-08 | novos: 26112 | skip: 0 | erros: 0
[2026-03-29T21:25:50.158Z] [2014] COMPLETO — 26112 novos, 0 duplicatas, 0 erros
[2026-03-29T21:25:50.158Z] Total no CSV: 26112 processos
