[2026-03-29T21:27:52.868Z] Novo arquivo: C:\Users\medin\Desktop\backup_judx\resultados\stj_datajud\stj_datajud_2007.csv
[2026-03-29T21:27:52.872Z] Ano 2007: 53 semanas
[2026-03-29T21:27:53.977Z] [2007] 2007-12-25/2007-12-31 | novos: 2 | skip: 0 | erros: 0
[2026-03-29T21:27:54.272Z] [2007] 2007-12-18/2007-12-24 | novos: 4 | skip: 0 | erros: 0
[2026-03-29T21:27:54.551Z] [2007] 2007-12-11/2007-12-17 | novos: 34 | skip: 0 | erros: 0
[2026-03-29T21:27:54.909Z] [2007] 2007-12-04/2007-12-10 | novos: 38 | skip: 0 | erros: 0
[2026-03-29T21:27:55.112Z] [2007] 2007-11-27/2007-12-03 | novos: 49 | skip: 0 | erros: 0
[2026-03-29T21:27:55.626Z] [2007] 2007-11-20/2007-11-26 | novos: 57 | skip: 0 | erros: 0
[2026-03-29T21:27:55.953Z] [2007] 2007-11-13/2007-11-19 | novos: 76 | skip: 0 | erros: 0
[2026-03-29T21:27:56.263Z] [2007] 2007-11-06/2007-11-12 | novos: 80 | skip: 0 | erros: 0
[2026-03-29T21:27:57.123Z] [2007] 2007-10-23/2007-10-29 | novos: 128 | skip: 0 | erros: 0
[2026-03-29T21:27:57.403Z] [2007] 2007-10-16/2007-10-22 | novos: 161 | skip: 0 | erros: 0
[2026-03-29T21:27:57.592Z] [2007] 2007-10-09/2007-10-15 | novos: 169 | skip: 0 | erros: 0
[2026-03-29T21:27:57.825Z] [2007] 2007-10-02/2007-10-08 | novos: 234 | skip: 0 | erros: 0
[2026-03-29T21:27:58.045Z] [2007] 2007-09-25/2007-10-01 | novos: 238 | skip: 0 | erros: 0
[2026-03-29T21:27:58.247Z] [2007] 2007-09-18/2007-09-24 | novos: 246 | skip: 0 | erros: 0
[2026-03-29T21:27:58.436Z] [2007] 2007-09-11/2007-09-17 | novos: 250 | skip: 0 | erros: 0
[2026-03-29T21:27:58.652Z] [2007] 2007-09-04/2007-09-10 | novos: 274 | skip: 0 | erros: 0
[2026-03-29T21:27:58.995Z] [2007] 2007-08-28/2007-09-03 | novos: 284 | skip: 0 | erros: 0
[2026-03-29T21:27:59.210Z] [2007] 2007-08-21/2007-08-27 | novos: 287 | skip: 0 | erros: 0
[2026-03-29T21:27:59.508Z] [2007] 2007-08-14/2007-08-20 | novos: 293 | skip: 0 | erros: 0
[2026-03-29T21:27:59.744Z] [2007] 2007-08-07/2007-08-13 | novos: 294 | skip: 0 | erros: 0
[2026-03-29T21:27:59.947Z] [2007] 2007-07-31/2007-08-06 | novos: 309 | skip: 0 | erros: 0
[2026-03-29T21:28:00.319Z] [2007] 2007-07-24/2007-07-30 | novos: 323 | skip: 0 | erros: 0
[2026-03-29T21:28:00.567Z] [2007] 2007-07-17/2007-07-23 | novos: 358 | skip: 0 | erros: 0
[2026-03-29T21:28:00.755Z] [2007] 2007-07-10/2007-07-16 | novos: 369 | skip: 0 | erros: 0
[2026-03-29T21:28:01.050Z] [2007] 2007-07-03/2007-07-09 | novos: 383 | skip: 0 | erros: 0
[2026-03-29T21:28:01.301Z] [2007] 2007-06-26/2007-07-02 | novos: 427 | skip: 0 | erros: 0
[2026-03-29T21:28:01.644Z] [2007] 2007-06-19/2007-06-25 | novos: 481 | skip: 0 | erros: 0
[2026-03-29T21:28:01.862Z] [2007] 2007-06-12/2007-06-18 | novos: 509 | skip: 0 | erros: 0
[2026-03-29T21:28:02.063Z] [2007] 2007-06-05/2007-06-11 | novos: 512 | skip: 0 | erros: 0
