[2026-03-29T21:24:51.934Z] Novo arquivo: C:\Users\medin\Desktop\backup_judx\resultados\stj_datajud\stj_datajud_2013.csv
[2026-03-29T21:24:51.939Z] Ano 2013: 53 semanas
[2026-03-29T21:24:53.269Z] [2013] 2013-12-25/2013-12-31 | novos: 59 | skip: 0 | erros: 0
[2026-03-29T21:24:54.868Z] [2013] 2013-12-18/2013-12-24 | novos: 252 | skip: 0 | erros: 0
[2026-03-29T21:24:55.756Z] [2013] 2013-12-11/2013-12-17 | novos: 570 | skip: 0 | erros: 0
[2026-03-29T21:24:56.628Z] [2013] 2013-12-04/2013-12-10 | novos: 836 | skip: 0 | erros: 0
[2026-03-29T21:24:57.650Z] [2013] 2013-11-27/2013-12-03 | novos: 1166 | skip: 0 | erros: 0
[2026-03-29T21:24:58.353Z] [2013] 2013-11-20/2013-11-26 | novos: 1534 | skip: 0 | erros: 0
[2026-03-29T21:24:59.272Z] [2013] 2013-11-13/2013-11-19 | novos: 1886 | skip: 0 | erros: 0
[2026-03-29T21:25:09.768Z] [2013] 2013-09-11/2013-09-17 | novos: 5004 | skip: 0 | erros: 0
[2026-03-29T21:25:10.497Z] [2013] 2013-09-04/2013-09-10 | novos: 5467 | skip: 0 | erros: 0
[2026-03-29T21:25:11.651Z] [2013] 2013-08-28/2013-09-03 | novos: 5910 | skip: 0 | erros: 0
[2026-03-29T21:25:12.789Z] [2013] 2013-08-21/2013-08-27 | novos: 6387 | skip: 0 | erros: 0
[2026-03-29T21:25:14.783Z] [2013] 2013-08-14/2013-08-20 | novos: 6794 | skip: 0 | erros: 0
[2026-03-29T21:25:27.152Z] [2013] 2013-05-22/2013-05-28 | novos: 10155 | skip: 0 | erros: 0
[2026-03-29T21:25:27.788Z] [2013] 2013-05-15/2013-05-21 | novos: 10509 | skip: 0 | erros: 0
[2026-03-29T21:25:29.015Z] [2013] 2013-05-08/2013-05-14 | novos: 10892 | skip: 0 | erros: 0
[2026-03-29T21:25:30.089Z] [2013] 2013-05-01/2013-05-07 | novos: 11139 | skip: 0 | erros: 0
[2026-03-29T21:25:31.444Z] [2013] 2013-04-24/2013-04-30 | novos: 11466 | skip: 0 | erros: 0
[2026-03-29T21:25:32.694Z] [2013] 2013-04-17/2013-04-23 | novos: 11726 | skip: 0 | erros: 0
[2026-03-29T21:25:43.365Z] [2013] COMPLETO — 14484 novos, 0 duplicatas, 0 erros
[2026-03-29T21:25:43.365Z] Total no CSV: 14484 processos
