[2026-03-29T21:27:54.072Z] Novo arquivo: C:\Users\medin\Desktop\backup_judx\resultados\stj_datajud\stj_datajud_2006.csv
[2026-03-29T21:27:54.075Z] Ano 2006: 53 semanas
[2026-03-29T21:27:54.535Z] [2006] 2006-12-11/2006-12-17 | novos: 7 | skip: 0 | erros: 0
[2026-03-29T21:27:54.862Z] [2006] 2006-12-04/2006-12-10 | novos: 9 | skip: 0 | erros: 0
[2026-03-29T21:27:55.095Z] [2006] 2006-11-27/2006-12-03 | novos: 12 | skip: 0 | erros: 0
[2026-03-29T21:27:55.657Z] [2006] 2006-11-20/2006-11-26 | novos: 38 | skip: 0 | erros: 0
[2026-03-29T21:27:56.000Z] [2006] 2006-11-13/2006-11-19 | novos: 47 | skip: 0 | erros: 0
[2026-03-29T21:27:56.263Z] [2006] 2006-11-06/2006-11-12 | novos: 50 | skip: 0 | erros: 0
[2026-03-29T21:27:56.638Z] [2006] 2006-10-30/2006-11-05 | novos: 51 | skip: 0 | erros: 0
[2026-03-29T21:27:57.013Z] [2006] 2006-10-23/2006-10-29 | novos: 87 | skip: 0 | erros: 0
[2026-03-29T21:27:57.200Z] [2006] 2006-10-16/2006-10-22 | novos: 88 | skip: 0 | erros: 0
[2026-03-29T21:27:57.388Z] [2006] 2006-10-09/2006-10-15 | novos: 89 | skip: 0 | erros: 0
[2026-03-29T21:27:57.591Z] [2006] 2006-10-02/2006-10-08 | novos: 93 | skip: 0 | erros: 0
[2026-03-29T21:27:58.045Z] [2006] 2006-09-25/2006-10-01 | novos: 97 | skip: 0 | erros: 0
[2026-03-29T21:27:58.246Z] [2006] 2006-09-18/2006-09-24 | novos: 104 | skip: 0 | erros: 0
[2026-03-29T21:27:58.481Z] [2006] 2006-09-11/2006-09-17 | novos: 136 | skip: 0 | erros: 0
[2026-03-29T21:27:58.667Z] [2006] 2006-09-04/2006-09-10 | novos: 138 | skip: 0 | erros: 0
[2026-03-29T21:27:58.839Z] [2006] 2006-08-28/2006-09-03 | novos: 139 | skip: 0 | erros: 0
[2026-03-29T21:27:59.133Z] [2006] 2006-08-21/2006-08-27 | novos: 164 | skip: 0 | erros: 0
[2026-03-29T21:27:59.523Z] [2006] 2006-08-14/2006-08-20 | novos: 169 | skip: 0 | erros: 0
[2026-03-29T21:27:59.759Z] [2006] 2006-08-07/2006-08-13 | novos: 170 | skip: 0 | erros: 0
[2026-03-29T21:27:59.946Z] [2006] 2006-07-31/2006-08-06 | novos: 173 | skip: 0 | erros: 0
[2026-03-29T21:28:00.273Z] [2006] 2006-07-24/2006-07-30 | novos: 183 | skip: 0 | erros: 0
[2026-03-29T21:28:00.474Z] [2006] 2006-07-17/2006-07-23 | novos: 188 | skip: 0 | erros: 0
[2026-03-29T21:28:00.692Z] [2006] 2006-07-10/2006-07-16 | novos: 191 | skip: 0 | erros: 0
[2026-03-29T21:28:00.988Z] [2006] 2006-07-03/2006-07-09 | novos: 198 | skip: 0 | erros: 0
[2026-03-29T21:28:01.176Z] [2006] 2006-06-26/2006-07-02 | novos: 207 | skip: 0 | erros: 0
[2026-03-29T21:28:01.533Z] [2006] 2006-06-19/2006-06-25 | novos: 210 | skip: 0 | erros: 0
[2026-03-29T21:28:01.846Z] [2006] 2006-06-12/2006-06-18 | novos: 219 | skip: 0 | erros: 0
[2026-03-29T21:28:02.016Z] [2006] 2006-06-05/2006-06-11 | novos: 221 | skip: 0 | erros: 0
[2026-03-29T21:28:02.202Z] [2006] 2006-05-29/2006-06-04 | novos: 223 | skip: 0 | erros: 0
[2026-03-29T21:28:02.450Z] [2006] 2006-05-15/2006-05-21 | novos: 226 | skip: 0 | erros: 0
[2026-03-29T21:28:02.637Z] [2006] 2006-05-08/2006-05-14 | novos: 233 | skip: 0 | erros: 0
[2026-03-29T21:28:02.808Z] [2006] 2006-05-01/2006-05-07 | novos: 234 | skip: 0 | erros: 0
[2026-03-29T21:28:03.558Z] [2006] 2006-04-24/2006-04-30 | novos: 237 | skip: 0 | erros: 0
[2026-03-29T21:28:03.996Z] [2006] 2006-04-17/2006-04-23 | novos: 239 | skip: 0 | erros: 0
[2026-03-29T21:28:05.216Z] [2006] 2006-04-10/2006-04-16 | novos: 241 | skip: 0 | erros: 0
[2026-03-29T21:28:05.904Z] [2006] 2006-03-27/2006-04-02 | novos: 244 | skip: 0 | erros: 0
[2026-03-29T21:28:06.215Z] [2006] 2006-03-20/2006-03-26 | novos: 246 | skip: 0 | erros: 0
[2026-03-29T21:28:06.619Z] [2006] 2006-03-13/2006-03-19 | novos: 247 | skip: 0 | erros: 0
[2026-03-29T21:28:07.041Z] [2006] 2006-03-06/2006-03-12 | novos: 248 | skip: 0 | erros: 0
[2026-03-29T21:28:07.683Z] [2006] 2006-02-20/2006-02-26 | novos: 250 | skip: 0 | erros: 0
[2026-03-29T21:28:08.148Z] [2006] 2006-02-13/2006-02-19 | novos: 253 | skip: 0 | erros: 0
[2026-03-29T21:28:08.603Z] [2006] 2006-02-06/2006-02-12 | novos: 254 | skip: 0 | erros: 0
[2026-03-29T21:28:08.805Z] [2006] 2006-01-30/2006-02-05 | novos: 258 | skip: 0 | erros: 0
[2026-03-29T21:28:08.993Z] [2006] 2006-01-23/2006-01-29 | novos: 259 | skip: 0 | erros: 0
[2026-03-29T21:28:09.198Z] [2006] 2006-01-09/2006-01-15 | novos: 261 | skip: 0 | erros: 0
[2026-03-29T21:28:09.263Z] [2006] COMPLETO — 261 novos, 0 duplicatas, 0 erros
[2026-03-29T21:28:09.263Z] Total no CSV: 261 processos
