[2026-03-29T21:27:30.878Z] Novo arquivo: C:\Users\medin\Desktop\backup_judx\resultados\stj_datajud\stj_datajud_2011.csv
[2026-03-29T21:27:30.882Z] Ano 2011: 53 semanas
[2026-03-29T21:27:31.777Z] [2011] 2011-12-25/2011-12-31 | novos: 5 | skip: 0 | erros: 0
[2026-03-29T21:27:32.121Z] [2011] 2011-12-18/2011-12-24 | novos: 17 | skip: 0 | erros: 0
[2026-03-29T21:27:32.527Z] [2011] 2011-12-11/2011-12-17 | novos: 111 | skip: 0 | erros: 0
[2026-03-29T21:27:32.965Z] [2011] 2011-12-04/2011-12-10 | novos: 180 | skip: 0 | erros: 0
[2026-03-29T21:27:33.290Z] [2011] 2011-11-27/2011-12-03 | novos: 293 | skip: 0 | erros: 0
[2026-03-29T21:27:33.525Z] [2011] 2011-11-20/2011-11-26 | novos: 353 | skip: 0 | erros: 0
[2026-03-29T21:27:33.854Z] [2011] 2011-11-13/2011-11-19 | novos: 410 | skip: 0 | erros: 0
[2026-03-29T21:27:34.150Z] [2011] 2011-11-06/2011-11-12 | novos: 488 | skip: 0 | erros: 0
[2026-03-29T21:27:34.356Z] [2011] 2011-10-30/2011-11-05 | novos: 522 | skip: 0 | erros: 0
[2026-03-29T21:27:34.686Z] [2011] 2011-10-23/2011-10-29 | novos: 602 | skip: 0 | erros: 0
[2026-03-29T21:27:34.999Z] [2011] 2011-10-16/2011-10-22 | novos: 718 | skip: 0 | erros: 0
[2026-03-29T21:27:35.235Z] [2011] 2011-10-09/2011-10-15 | novos: 777 | skip: 0 | erros: 0
[2026-03-29T21:27:35.503Z] [2011] 2011-10-02/2011-10-08 | novos: 849 | skip: 0 | erros: 0
[2026-03-29T21:27:35.785Z] [2011] 2011-09-25/2011-10-01 | novos: 931 | skip: 0 | erros: 0
[2026-03-29T21:27:36.095Z] [2011] 2011-09-18/2011-09-24 | novos: 1015 | skip: 0 | erros: 0
[2026-03-29T21:27:36.409Z] [2011] 2011-09-11/2011-09-17 | novos: 1132 | skip: 0 | erros: 0
[2026-03-29T21:27:36.816Z] [2011] 2011-09-04/2011-09-10 | novos: 1217 | skip: 0 | erros: 0
[2026-03-29T21:27:37.113Z] [2011] 2011-08-28/2011-09-03 | novos: 1345 | skip: 0 | erros: 0
[2026-03-29T21:27:37.581Z] [2011] 2011-08-21/2011-08-27 | novos: 1453 | skip: 0 | erros: 0
[2026-03-29T21:27:37.957Z] [2011] 2011-08-14/2011-08-20 | novos: 1596 | skip: 0 | erros: 0
[2026-03-29T21:27:38.207Z] [2011] 2011-08-07/2011-08-13 | novos: 1688 | skip: 0 | erros: 0
[2026-03-29T21:27:38.469Z] [2011] 2011-07-31/2011-08-06 | novos: 1823 | skip: 0 | erros: 0
[2026-03-29T21:27:38.691Z] [2011] 2011-07-24/2011-07-30 | novos: 1888 | skip: 0 | erros: 0
[2026-03-29T21:27:38.912Z] [2011] 2011-07-17/2011-07-23 | novos: 1936 | skip: 0 | erros: 0
[2026-03-29T21:27:47.221Z] [2011] COMPLETO — 3296 novos, 0 duplicatas, 0 erros
[2026-03-29T21:27:47.222Z] Total no CSV: 3296 processos
