[2026-03-29T21:24:53.609Z] Novo arquivo: C:\Users\medin\Desktop\backup_judx\resultados\stj_datajud\stj_datajud_2012.csv
[2026-03-29T21:24:53.613Z] Ano 2012: 53 semanas
[2026-03-29T21:24:55.212Z] [2012] 2012-12-25/2012-12-31 | novos: 5 | skip: 0 | erros: 0
[2026-03-29T21:24:55.801Z] [2012] 2012-12-18/2012-12-24 | novos: 67 | skip: 0 | erros: 0
[2026-03-29T21:24:56.830Z] [2012] 2012-12-11/2012-12-17 | novos: 219 | skip: 0 | erros: 0
[2026-03-29T21:24:57.587Z] [2012] 2012-12-04/2012-12-10 | novos: 402 | skip: 0 | erros: 0
[2026-03-29T21:24:57.980Z] [2012] 2012-11-27/2012-12-03 | novos: 561 | skip: 0 | erros: 0
[2026-03-29T21:24:58.631Z] [2012] 2012-11-20/2012-11-26 | novos: 734 | skip: 0 | erros: 0
[2026-03-29T21:24:59.148Z] [2012] 2012-11-13/2012-11-19 | novos: 874 | skip: 0 | erros: 0
[2026-03-29T21:25:01.942Z] [2012] 2012-11-06/2012-11-12 | novos: 1055 | skip: 0 | erros: 0
[2026-03-29T21:25:02.637Z] [2012] 2012-10-30/2012-11-05 | novos: 1191 | skip: 0 | erros: 0
[2026-03-29T21:25:03.505Z] [2012] 2012-10-23/2012-10-29 | novos: 1504 | skip: 0 | erros: 0
[2026-03-29T21:25:05.081Z] [2012] 2012-10-16/2012-10-22 | novos: 1757 | skip: 0 | erros: 0
[2026-03-29T21:25:05.973Z] [2012] 2012-10-09/2012-10-15 | novos: 1948 | skip: 0 | erros: 0
[2026-03-29T21:25:21.764Z] [2012] 2012-06-26/2012-07-02 | novos: 5036 | skip: 0 | erros: 0
[2026-03-29T21:25:22.340Z] [2012] 2012-06-19/2012-06-25 | novos: 5240 | skip: 0 | erros: 0
[2026-03-29T21:25:22.931Z] [2012] 2012-06-12/2012-06-18 | novos: 5391 | skip: 0 | erros: 0
[2026-03-29T21:25:23.446Z] [2012] 2012-06-05/2012-06-11 | novos: 5489 | skip: 0 | erros: 0
[2026-03-29T21:25:24.537Z] [2012] 2012-05-29/2012-06-04 | novos: 5621 | skip: 0 | erros: 0
[2026-03-29T21:25:25.268Z] [2012] 2012-05-22/2012-05-28 | novos: 5758 | skip: 0 | erros: 0
[2026-03-29T21:25:25.812Z] [2012] 2012-05-15/2012-05-21 | novos: 5891 | skip: 0 | erros: 0
[2026-03-29T21:25:26.186Z] [2012] 2012-05-08/2012-05-14 | novos: 6039 | skip: 0 | erros: 0
[2026-03-29T21:25:26.498Z] [2012] 2012-05-01/2012-05-07 | novos: 6171 | skip: 0 | erros: 0
[2026-03-29T21:25:26.856Z] [2012] 2012-04-24/2012-04-30 | novos: 6353 | skip: 0 | erros: 0
[2026-03-29T21:25:27.183Z] [2012] 2012-04-17/2012-04-23 | novos: 6483 | skip: 0 | erros: 0
[2026-03-29T21:25:27.616Z] [2012] 2012-04-10/2012-04-16 | novos: 6650 | skip: 0 | erros: 0
[2026-03-29T21:25:28.052Z] [2012] 2012-04-03/2012-04-09 | novos: 6712 | skip: 0 | erros: 0
[2026-03-29T21:25:28.487Z] [2012] 2012-03-27/2012-04-02 | novos: 6865 | skip: 0 | erros: 0
[2026-03-29T21:25:37.074Z] [2012] COMPLETO — 8073 novos, 0 duplicatas, 0 erros
[2026-03-29T21:25:37.074Z] Total no CSV: 8073 processos
